日期,主题,标的,方向,原文定位,关键催化,参考材料,当前位置判断,交易表达,风险点,交易提示,下次复盘日期,备注
2026-07-27,英伟达AI融资与信用风险,英伟达/OpenAI/SK海力士/海外AI基础设施链,AI基础设施/融资/信用风险/资本回报,"图片转述英伟达围绕超过750亿美元的AI基础设施安排进行谈判，并拟就OpenAI数据中心租赁提供最高250亿美元担保；同时称其5年期信用违约互换价格升至约82个基点","融资协议；担保范围；信用利差；AI收入；自由现金流；债务；云厂和模型公司CapEx；供应链订单","英伟达和OpenAI公告；融资或担保文件；财报和业绩会；ICE等信用市场数据；云厂CapEx；供应链订单、交期、价格和库存","海外AI投入与融资压力并存，需将资本开支、收入回报、现金流和信用成本放在同一框架观察",趋势破位走；止盈止损,"融资安排或金额口径不符；信用成本上升；AI收入和现金流不足；云厂与模型公司压缩采购；供应链订单放缓；高估值回撤",条件式退出或利润保护,2026-08-15,"新增7月27日晚间图片线索；承接7月16日至23日海外AI需求四项验证、Alphabet资本开支与资本回报台账"
2026-08-07,FCC第三份进一步拟议规则范围与光模块外溢,光模块主链/通信与网络设备,美国通信设备认证/供应链合规,"图片将第三份进一步拟议规则的直接对象指向无人机和路由器，并称目前未直接点名光收发模块；同时提示HBOM/SBOM和供应链透明要求可能在监管范围扩展时提高合规门槛","FCC第三份进一步拟议规则；HBOM/SBOM；设备授权；网络与数据中心设备范围","FCC官方征求意见稿和案卷；联邦公报；Covered List；规则生效文本；公司认证与供应链文件","与8月5日光模块准入传闻交叉，先区分已发布规则、拟议范围和未来推演，不将供应链透明要求等同模块禁令",趋势破位走；止盈止损,"图片概括与规则原文不符；监管对象未扩大至数据中心；产品范围或过渡安排变化；客户认证成本上升",条件式退出或利润保护,2026-08-15,"新增8月7日规则范围截图，需以FCC原文校正此前光模块限制传闻"
2026-08-07,日本先进封装后道设备出口管制,日本METI/先进封装设备/国产设备链,半导体设备/先进封装/出口管制,"长图称日本自8月1日起对Die Bonder、晶圆减薄、TSV、凸点制作、混合键合、贴合和相关检测设备等实行逐案审批","日本先进封装设备清单；许可证；对华供货；国产替代；客户验证；采购和收入","日本METI官报与出口管制清单；官方FAQ；设备厂公告；客户采购、招投标和验收；公司定期报告和收入分项","先核正式规则、生效日和设备范围，再判断对海外供货和国产设备订单的实际影响",提示机会；观察催化,"截图范围或日期不符；许可证影响有限；国产设备验证周期长；客户采购未落地；估值提前反映",提示机会，观察事件催化,2026-08-31,"新增8月7日长图线索；与先进封装和国产设备台账并行观察"
2026-08-07,液冷CAGE出货认证与客户兑现,鼎通科技/奕东电子/安费诺/莫仕/泰科,光模块液冷CAGE/高速连接器,"群内称鼎通科技液冷CAGE仍为独供，2026年一、二季度确认出货约3万套、10万套；奕东电子处于送样和扩产，预计年末前有认证结果","1.6T光模块；液冷CAGE；客户认证；出货；单价；产能；收入和毛利率","公司公告；定期报告；业绩说明会；投资者关系记录；客户认证；订单、出货、产能、合同负债、收入和毛利率分项","承接既有液冷CAGE台账，本次由空间测算推进至季度出货与认证时间点，需优先确认客户、订单和财务贡献",高位多看图；趋势保持留,"独供或客户口径不符；样品未转批量；认证和扩产延后；单价或毛利率不及预期；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-08-31,"新增8月7日出货与认证口径；与鼎通、奕东既有CAGE和高速连接器记录合并观察"
2026-08-07,FDE与AI基础设施软件商业化,博睿数据/卓易信息/星环科技/海量数据/深信服/网宿科技/绿盟科技/索辰科技,AI应用/可观测性/数据库/边缘计算/安全,"群内将A股多数AI应用定位为美股映射和波段题材，并把FDE、可观测性、AI数据库、边缘计算和安全视为更接近企业AI落地的基础软件方向","FDE；企业部署；AI可观测；数据库；边缘计算；安全；客户付费；续费；AI收入；毛利率；经营现金流；模型单位成本","公司公告；产品文档；客户案例；产品价格页；定期报告；投资者关系记录；AI收入分项；付费用户、续费率、ARPU、毛利率和经营现金流","与既有AI基础设施软件台账承接，重点由概念映射转向产品部署、付费订单、续费和收入质量；8月10日长文补充通用模型替代传统软件与模型降本的双向影响",低位多看逻辑,"美股映射减弱；国内产品难商业化；客户付费和续费不足；通用模型或大厂整合替代标准化功能；传统业务拖累；估值提前反映",低位关注产业逻辑和基本面,2026-08-31,"新增8月7日FDE框架；8月10日文章与图片补充AI Infra映射、云边协同、AI编程及垂直应用材料；不将海外软件股涨幅、图示映射或产品目标直接外推为国内收入"
2026-08-07,海外英伟达GPU获取与算力租赁合规,算力租赁链/海外GPU资源/国产算力链,AI芯片出口管制/算力租赁/合规风险,"Bloomberg截图称美国审查中国主体在AI取得进展后通过海外渠道获得英伟达芯片；群内同时讨论海外B300价格与算力租赁卡源","海外GPU审查；B300；卡源合规；机房上架；客户长约；利用率；定价和现金流","美国主管部门文件；Bloomberg原文；BIS文件；公司公告；客户合同；机房上架资料；定期报告和经营现金流","承接既有海外卡源与国产算力替代记录，先确认审查范围和卡源合规，再评估对公司交付与盈利模型的影响",趋势破位走；止盈止损,"报道或价格口径不符；卡源受限；合规风险升级；机房交付延期；利用率不足；折旧和融资成本侵蚀利润",条件式退出或利润保护,2026-08-31,"新增8月7日媒体截图与群内讨论；不记录或推导规避出口管制的具体路径"
2026-08-07,创业板算力基础设施ETF申报,创业板算力基础设施ETF/科技ETF,资本市场资金/算力基础设施,"证监会行政许可截图显示多家基金公司申报创业板算力基础设施相关交易型开放式基金","ETF申报；审核状态；获批发行；份额；净申赎；成交和持仓","证监会行政许可公示；基金公司公告；基金合同和招募说明书；基金份额与申赎数据；交易所行情","将申报、获批、发行和持续资金流分开跟踪，不以申报截图直接推导板块增量资金",趋势破位走；止盈止损,"截图信息不完整；产品未获批或发行；份额增长不持续；市场情绪转弱；科技拥挤回撤",条件式退出或利润保护,2026-08-31,"新增8月7日行政许可截图；与科技ETF资金分化台账共同观察"
2026-07-28,半导体结构件与国产光刻机配套,美利信,半导体结构件/真空腔体/机械臂/减震器,"群内称渝莱昇已投产并加快半导体零部件扩产，产品覆盖基座、真空腔体、结构件、机械臂、减震器和运动平台，客户涉及新凯来、宇量昇和星光利索","子公司产能爬坡；客户认证；新工厂投产；定增扩产；半导体订单与收入","公司公告；定增文件；项目备案；客户认证；订单合同；交付验收；半导体收入、毛利率和产能利用率","新业务体量、客户覆盖和利润预测均需拆分验证，不以产能规划代替业绩",提示机会；观察催化,"客户或合作关系不符；产能爬坡不及预期；订单未转收入；毛利率和传统业务修复不及预期；估值提前反映",提示机会，观察事件催化,2026-08-31,"新增7月28日群内经营更新；原文含2026至2028年产能和利润预测，优先核新工厂、客户认证、订单和半导体收入"
2026-07-28,高纯介质系统与Gasbox扩产,正帆科技,厂务系统/Gasbox/石英与碳化硅零部件,"群内称公司主业受晶圆厂扩产带动，Gasbox批量供货设备厂，汉京石英与碳化硅零部件进入多家设备和晶圆厂供应链","晶圆厂资本开支；Gasbox订单；产线稼动率；汉京产品认证与并表贡献；高毛利订单","公司公告；财报；投资者关系记录；客户认证；订单与交付；汉京并表数据；收入分项、毛利率和合同负债","厂务、Gasbox与零部件业务的景气需要分别确认，客户名单及利润预测不可直接外推",低位多看逻辑,"晶圆厂扩产放缓；Gasbox价格或订单不及预期；汉京认证或产能爬坡延后；并表与利润贡献不及预期",低位关注产业逻辑和基本面,2026-08-31,"新增7月28日群内经营更新；重点核Gasbox收入、客户认证、汉京订单与财务贡献"
2026-07-28,前道Track与先进封装设备导入,芯源微,涂胶显影/清洗/临时键合与解键合,"群内称前道Track的存储客户验证推进，Q3中期或有小批量订单；清洗、临时键合和Frame清洗设备同步放量","Track客户验证；存储扩产；清洗与先进封装订单；国产光刻机配套","公司公告；客户招标；验证与验收；订单合同；半年报与三季报；收入分项、合同负债和毛利率","Track是核心增量但仍处验证窗口，其他设备订单不能替代Track导入证据",低位多看逻辑,"Track验证延后或未转订单；客户集中；清洗和后道订单不及预期；估值提前反映；趋势破位",低位关注产业逻辑和基本面,2026-08-31,"承接2026年5月KrF DUV和长存导入线索；7月28日补充存储客户与Q3小批量订单说法"
2026-07-28,离子注入机与存储材料突破,先导基电/凯世通,离子注入机/静电卡盘/特气与存储材料,"群内称先进制程低能大束流离子注入机进入头部DRAM与先进逻辑客户采购流程，并称静电卡盘、MFC及钼基材料形成整机和耗材增量","离子注入机中标与验收；DRAM和先进逻辑客户导入；静电卡盘订单；材料客户与收入","公司公告；客户招投标；采购合同；验收与工艺数据；半年报和三季报；订单、收入、毛利率和产能利用率","离子注入机国产替代空间较大，但订单台数、客户份额和材料业务均需独立确认",低位多看逻辑,"采购流程未转中标；产品性能或稳定性不达标；静电卡盘和材料客户口径不符；收入兑现延后；估值提前反映",低位关注产业逻辑和基本面,2026-08-31,"承接7月24日长鑫扩产与国产设备采购线索；7月28日新增50台以上订单、客户和耗材材料说法"
2026-08-03,科技超跌修复与筹码出清,科创50/创业板/科技ETF/两融/科技核心股,市场流动性/科技拥挤/交易纪律,"策略与图片材料以7月双创大幅回撤及历史次月表现支持超跌修复，同时显示科技类ETF赎回、机构高持仓和去杠杆尚未完全稳定","指数回撤；ETF份额与申赎；两融余额；成交结构；核心股5日线和10日线；中报","交易所指数与两融数据；基金公司ETF份额和申赎；Wind或Choice成交结构；基金季报；核心股量价；中报与业绩预告","当前按超跌修复与筹码出清并行跟踪，不以历史统计或单日反抽定义趋势反转",趋势破位走；止盈止损,"ETF和融资卖压扩大；成交继续萎缩；核心股再破位；中报不及预期；机构高持仓引发追加赎回",条件式退出或利润保护,2026-08-15,"新增8月3日策略、盘面与图片材料；承接7月20日至31日科技流动性和ETF资金分化框架"
2026-08-03,算力租赁卡源与Token分成验证,协创数据/行云科技/利通电子/润建股份/东阳光/宏景科技,算力租赁/AIDC/Token工厂,"群内将算力租赁定义为承接模型推理需求的中间层，并以卡源、合规主体、机房、物流、长期合同和Token分成筛选公司","高端卡获取；机房资源；客户长约；上架利用率；Token分成；MaaS或TaaS；收入和现金流","公司公告；定期报告；投资者关系记录；项目备案与能评；客户合同；产品页面；机房上架和利用率；收入分项；毛利率；经营现金流","商业模式事件强度较高但资源、客户、合同和财务证据尚未闭环，后续看中报和项目落地",低位多看逻辑,"卡源或合规受限；项目延期；利用率不足；租金下行；分成未落地；折旧和融资成本侵蚀利润；估值提前反映和趋势破位",低位关注产业逻辑和基本面,2026-08-31,"新增8月3日卡源和Token分成筛选框架；承接既有协创、利通、润建和宏景科技的算力租赁台账，行云科技与东阳光按同一证据标准跟踪"
2026-08-04,科技M顶与AI硬件结构选择,科技主线/AI硬件/存储/光模块/晶圆制造/半导体设备,市场流动性/科技拥挤/AI硬件轮动,"会议纪要将科技行情定义为高拥挤后的一顶至二顶观察区间，图片材料认为国产链基本面相对海外更优但科技抱团估值偏高；并分别讨论存储价格周期、光模块竞争、晶圆制造和半导体设备扩产逻辑","中报；两融；ETF申赎；成交集中度；核心股5日线和10日线；存储价格；云厂CapEx；扩产备案和设备招标","基金季报；交易所两融数据；基金公司ETF份额与申赎；核心股量价；公司中报；存储原厂指引和价格报告；云厂财报；项目备案；招投标；公司订单和收入分项","产业趋势与超跌修复叙事尚在，但高拥挤阶段应将资金、趋势、盈利和估值合并判断；硬件各环节不宜统一外推",趋势破位走；止盈止损,"高持仓下资金卖压扩大；核心股趋势破位；中报或订单不及预期；存储价格拐点；光模块竞争压缩毛利率；扩产延期；估值提前反映",条件式退出或利润保护,2026-08-31,"新增8月4日科技M顶和AI硬件四类逻辑框架；承接7月20日至8月3日科技流动性、海外AI资本回报、存储与光通信验证体系"
2026-08-05,美国数据中心光收发模块准入限制传闻,中际旭创/新易盛/光模块主链/光通信上游,光模块/海外数据中心/出口准入/地缘监管,"先知研报梳理1260H与FCC既有监管案例，并转述FCC正在起草限制中国数据中心光收发模块新型号进入美国的措施；原文未提供正式规则文本","FCC规则或征求意见稿；适用范围；新型号定义；存量与过渡期；条件批准；企业海外产能、认证和客户交付","FCC文件、美国政府公报、Covered List更新、公司公告与定期报告、投资者关系记录、客户认证、海外产能、订单交付和收入分项","短期先按突发监管风险影响高位主链的情绪和估值预期；实际业绩影响取决于最终规则范围、豁免安排和海外产能及认证应对",高位多看图；趋势保持留,"规则落地并扩大至产品原产地、关键部件或存量；海外产能和认证无法覆盖；客户转单；订单和毛利率承压；高拥挤下趋势破位",趋势未破时跟踪量价,2026-08-15,"新增8月5日光模块准入限制传闻；承接7月22日海外AI资本开支与光通信供需，以及8月4日科技M顶和AI硬件轮动框架"
2026-08-05,中微公司潜在存储客户导入,中微公司/三星电子/SK海力士,半导体设备/刻蚀/海外客户,"财联社转述三星电子和SK海力士正在评估中微公司设备用于其中国工厂","客户评估；验证进度；采购中标；设备交付；验收；收入确认","公司公告；客户采购或招标；投资者关系记录；设备验证和验收；定期报告的客户与收入分项","客户评估属于早期导入线索，需区分评估、验证、订单、交付和收入各阶段",提示机会；观察催化,"评估未转验证或采购；设备性能和稳定性不达标；客户或产品范围口径不符；订单未转收入；估值提前反映",提示机会，观察事件催化,2026-08-31,"新增8月5日财联社转述；承接中微海外客户和先进制程设备线索，不以客户评估替代订单或收入"
2026-08-05,科技M顶与AI四阶段框架,科技主线/工业富联/中际旭创/国瓷材料/中国巨石,科技策略/AI硬件/AI应用/国产替代,"先知研报文章将当前AI定位为供需缺口阶段，提出科技可能经历一顶至二顶的M顶过程，并建议由强贝塔龙头转向具备独立阿尔法的二三线品种","中报盈利；公募持仓；两融；ETF申赎；成交集中度；云厂CapEx；AI收入；存储价格；产品付费和订单","公募基金季报；Wind或Choice数据；交易所两融和指数数据；ETF份额；公司中报；海外CSP财报；价格报告；公司订单和收入毛利率分项","将M顶作为资金、盈利、产业与趋势的联合观察框架，不以历史类比、阶段标签或相对涨幅单独定义配置方向",趋势破位走；止盈止损,"持仓和历史统计口径不实；云厂CapEx或AI收入下修；竞争恶化；业绩不及预期；高拥挤下资金撤离；核心股趋势破位；二三线仅补涨无独立逻辑",条件式退出或利润保护,2026-08-31,"新增8月5日文章复盘；承接8月4日科技M顶与AI硬件结构选择，补充四阶段、泡沫比较和一顶至二顶的观察条件"
2026-08-10,朱雀三号改期与可回收火箭复飞验证,朱雀三号/长征十号乙/蓝箭航天/商业航天链,商业航天/可回收火箭/低轨卫星,"先知研报文章将长征十号乙网系回收定义为工程验证，将朱雀三号垂直回收和后续复飞视为更强的商业化催化；文中称朱雀三号原计划任务可能改期","任务改期与新窗口；垂直回收；回收后复检；复飞；发射服务合同；星座组网和卫星批产","蓝箭航天官方；发射许可与航行警告；主管单位通报；权威媒体；复飞公告；商业发射合同；星座招标；上市公司公告和收入分项","从单次回收事件升级为复用经济性和订单验证，短期仍按高不确定性事件驱动跟踪",提示机会；观察催化,"发射或回收延期失败；复飞周期和检修成本不及预期；单次成功不等于规模复用；订单未落地；板块高估值和事件兑现后回撤；上市公司收入映射不足",提示机会，观察事件催化,2026-08-31,"承接7月10日长征十号乙网系回收与订单阶段记录；本次新增朱雀三号改期、垂直回收及回收至复飞的三段式验证框架"
2026-08-11,半导体设备零部件瓶颈与三类需求,半导体设备零部件链/富创精密/先锋半导体/江丰电子/珂玛科技/新莱应材/京仪装备,机械件/非金属件/气路真空电气光学,"先知研报称先进产能和存储扩产将使设备交付受零部件产能制约；订单落地可同时带来生产物料、库存修复和装机后备件需求","晶圆厂CAPEX；设备厂订单与交付；零部件产能利用率；客户认证；备件复购；产品结构与毛利率","公司公告；定期报告；客户招标与验收；订单；合同负债；产能利用率；售后备件收入；毛利率；经营现金流","承接6月至7月零部件供需紧缺及中报验证框架；本次不以行业空间和弹性测算代替公司级订单收入",低位多看逻辑,"扩产延期；供给释放或客户压价；认证未转批量；低附加值产品占比高；折旧和营运资本侵蚀现金流；估值提前反映与趋势破位",低位关注产业逻辑和基本面,2026-08-31,"新增8月11日文章线索；机械、非金属、气路、真空、电气和光学部件按各自认证与复购节奏跟踪"
2026-08-11,核心零部件技术验证与批量复购,Gas Box/MFC/静电卡盘/干式真空泵/射频电源/量检测光学,半导体设备核心部件/系统集成/耗材复购,"先知研报将Gas Box列为业绩兑现方向，将MFC、静电卡盘、真空泵和射频电源列为技术突破方向，并讨论量检测光学的国产替代","多客户认证；小批量重复订单；跨平台导入；使用寿命；半导体级收入和毛利率","公司公告；产品与测试资料；客户认证；招投标；采购订单；交付与运行数据；定期报告收入分项和毛利率；投资者关系记录","不以系统国产化或样品验证替代核心器件批量能力；以跨客户复购和经营贡献决定跟踪强度",低位多看逻辑,"性能或可靠性未达标；认证周期拉长；样品未转批量；客户集中；产品寿命或良率不及预期；研发与扩产投入侵蚀现金流",低位关注产业逻辑和基本面,2026-08-31,"新增8月11日文章分类框架；与正帆科技、先导基电、珂玛科技、江丰电子、新莱应材和京仪装备既有公司台账交叉验证"
2026-08-12,腾讯2026Q2 AI资本开支与商业化,腾讯控股/腾讯云/WorkBuddy/微信小微,互联网平台/AI应用/MaaS/云计算/算力基础设施,"腾讯2026Q2纪要称公司加大AI资本开支，优先覆盖模型训练、WorkBuddy推理与云服务，并认为订阅和Token消费可形成收入","2026Q2资本开支；WorkBuddy付费与留存；Token调用和单位成本；混元迭代；MaaS和GPU出租；微信小微灰度；云厂采购和招标","腾讯业绩公告和电话会原文；公司产品页与定价；云业务收入和毛利率；付费用户、调用量和客户案例；CAPEX构成；服务器和AI芯片招标；供应商订单、交付与收入分项","承接云CSP与MaaS利润率及国产云厂资本开支主线；本次新增腾讯公司级商业化与资本回报观察，不能以总CapEx直接外推本土供应链业绩",低位多看逻辑,"资本开支高于收入转化；Token价格战和推理成本侵蚀毛利；产品留存或付费不及预期；采购结构和国产化比例不明；供应链订单未落地；高位估值提前反映",低位关注产业逻辑和基本面,2026-08-31,"新增8月12日腾讯业绩纪要复盘；与2026-07-08云CSP与MaaS利润率及2026-07-07国产云厂转向本土AI供应商记录交叉验证"
2026-08-12,SK海力士大连NAND扩产与国产供应链,SK海力士/江丰电子/国产设备零部件材料链,NAND存储扩产/半导体材料零部件,"圈内称SK海力士大连二期拟新增约5万片/月NAND产能，2026年11月前后设备搬入、2027年下半年量产；既有产线主体设备以美日系为主，国产零部件和材料或已有部分导入","项目进度；设备搬入；设备构成；国产零部件材料认证；采购订单；供应商收入；江丰客户份额与靶材价格","项目主体和产能公告；客户采购与招标；供应商认证；设备交付验收；公司公告；客户结构；靶材出货价格；收入分项和毛利率","区分主体设备与零部件材料的受益路径；扩产预期不替代客户采购和收入确认",低位多看逻辑,"项目延期；主体设备沿用既有供应链；认证未转采购；客户份额和价格传导不及预期；高位估值提前反映",低位关注产业逻辑和基本面,2026-08-31,"新增8月12日大连扩产线索；承接中微潜在存储客户及江丰靶材既有记录"
2026-08-12,CoreWeave财报与国内算力租赁经营闭环,CoreWeave/国内算力租赁链,AI云基础设施/算力租赁,"原文转述CoreWeave Q2收入、积压订单、EBITDA、资本开支和客户合同超预期，并认为AI推理需求推动产能供不应求","CoreWeave正式财报；积压订单；资本开支；可用产能；国内卡源合规；机房上架；客户长约；利用率；定价；现金流","CoreWeave财报和业绩会；客户合同；云服务价格；国内公司公告；项目备案与能评；机房上架；收入毛利率和经营现金流","海外财报提高行业需求与资本回报观察强度；国内映射仍须逐家公司验证资源、合同和财务闭环",低位多看逻辑,"客户集中或续约压力；租赁价格下行；利用率不足；融资和折旧压力上升；海外结论无法传导至国内公司",低位关注产业逻辑和基本面,2026-08-31,"新增8月12日财报线索；承接7月2日和7月5日neocloud竞争压力记录"
2026-08-12,设备零部件紧缺与富创精密接单验证,富创精密/北方华创/珂玛科技/正帆科技/恒运昌/京仪装备/江丰电子/新莱应材,半导体设备零部件/气路真空电气陶瓷,"圈内称北方华创在EFEM、MFC、真空规、射频电源和静电卡盘等环节面临交付压力；富创精密7月接单提速并具备Gas Box等产能","设备厂订单和交期；零部件排产；客户认证；富创接单；产能利用率；CompArt并表；合同负债；毛利率；备件复购","设备厂公告和业绩会；公司公告；客户认证；采购订单；合同负债；产能利用率；产品收入分项；毛利率；经营现金流；并购交割资料","承接8月11日零部件瓶颈框架；以订单交付和经营数据判断紧缺是否形成业绩，不以空间与市值测算替代",高位多看图；趋势保持留,"设备需求放缓；扩产后供给释放；认证未转批量；客户压价；并表整合不及预期；折旧和营运资本侵蚀现金流；估值提前反映",趋势未破时跟踪量价,2026-08-31,"新增8月12日北方华创交付压力及富创接单线索；与富创和核心零部件既有台账交叉验证"
2026-08-12,茂莱光学Onto SP8与光互联检测量产,茂莱光学/Onto/康宁,半导体量检测光学/光刻光学/CPO检测,"交流称茂莱覆盖Onto G3/G5/SP8量检测配套，并计划推进SP8量产和供应链本土化；同步提及光刻机光学试验性交付及CPO光波导检测合作","G3/G5/SP8交付量；客户验收；订单和收入；供应链本土化；毛利率；光刻光学认证；CPO检测样机和客户验证","公司公告；投资者关系记录；客户资料；订单与验收；产能项目；收入分项；毛利率；产品手册；合作方资料","承接Onto与CPO检测既有台账；验证机、样机和试验性交付需与批量订单和收入贡献分开判断",高位多看图；趋势保持留,"量产或本土化延期；客户集中；订单未转收入；扩产费用压制利润；CPO量产节奏推迟；估值提前反映与趋势破位",趋势未破时跟踪量价,2026-08-31,"新增8月12日G3/G5/SP8、光刻光学和光波导检测线索；不重复记录远期收入与市值测算"
2026-08-13,算力租赁正循环与Token工厂升级,腾讯控股/腾讯云/WorkBuddy/Nebius/CoreWeave/协创数据/利通电子/润建股份/宏景科技/东阳光,AI云基础设施/算力租赁/MaaS/TaaS,"先知研报将腾讯Q2资本开支528亿元、Q3继续采购、海外Nebius与CoreWeave高利润率及产能紧缺，延伸至国内算力租赁和Token分成模式升级","腾讯Q3 CapEx；国产GPU采购；WorkBuddy付费与留存；Nebius/CoreWeave正式财报；卡源合规；机房上架；五年长约；利用率；Token分成；MaaS/TaaS收入确认","腾讯业绩公告和电话会；Nebius/CoreWeave财报与客户合同；国内公司公告、项目备案、机房上架、客户合同、调用量、分成协议、收入毛利率和经营现金流","主线事件强度高但公司级证据尚未闭环；区分裸租赁、转售、MaaS和TaaS，不以海外财报直接外推国内公司业绩",高位多看图；趋势保持留,"CapEx转化慢；Token价格战；卡源与出口管制；客户集中和续约压力；租金下行；折旧融资成本；分成未落地；高位估值和趋势破位",趋势未破时跟踪量价,2026-09-05,"新增8月13日腾讯、Nebius和CoreWeave综合跟踪；承接8月3日算力租赁卡源与Token分成、8月12日腾讯与CoreWeave记录"
2026-08-27,国产模型国产芯片闭环与Token需求,DeepSeek/KIMI/MiniMax/智谱/国产算力链,大模型推理/国产芯片适配/Token商业化,"文章称KIMI与亚马逊、谷歌推进Token分成，DeepSeek收入同比增长十倍且API毛利率82.9%，MiniMax推进M3/H3国产芯片适配，智谱请求流量全部运行在国产算力上","模型发布；API价格；Token调用量；国产芯片型号与集群规模；生产流量；客户部署；算力采购；收入和毛利率","模型公司官方发布与价格页；合作合同；独立评测；云厂产品资料；芯片适配和集群部署；客户案例；融资及财务资料；收入、成本和现金流披露","模型性能或测试适配不等于生产流量和收入闭环；需拆分试点、调用峰值、芯片占比、商业客户与持续算力采购",低位多看逻辑,"合作或收入口径不实；API涨价导致调用下滑；国产芯片适配延期；推理成本高；价格战；商业化和现金流不及预期；估值提前反映",低位关注产业逻辑和基本面,2026-09-30,"承接智谱模型迭代、DeepSeek API调价和算力租赁Token分成台账；新增四家模型玩家国产芯片承载生产流量线索"
2026-08-27,英伟达长期指引与AI资本开支上限,英伟达/亚马逊/海外云厂/海外AI基础设施链,英伟达财报/2028财年指引/GPU部署,"文章称英伟达电话会预计2028财年收入增长约70%、供给瓶颈延续至财年末，亚马逊将额外部署200万块GPU，并据此上调全球AI资本开支预期","2028财年收入指引；Q3指引；订单排期；供给瓶颈；亚马逊GPU部署；云厂CapEx；GPU出货；AI收入、利用率和自由现金流","英伟达正式财报和电话会文字稿；亚马逊公告与财报；云厂采购和CapEx指引；GPU出货与数据中心上架；供应链公司订单、收入和毛利率","长期指引与客户部署表述需区分预测、承诺和实际交付；资本开支上升不等于所有供应链公司收入同步增长",提示机会；观察催化,"交付能力不及指引；客户CapEx下修；GPU部署延期；供给瓶颈缓解导致价格和毛利率回落；高估值科技回撤",提示机会，观察事件催化,2026-09-30,"承接8月13日海外AI资本回报、8月26日美债和AI资本开支复盘；新增2028财年长期指引与亚马逊部署线索"
2026-08-27,英伟达第三方资本合作与循环融资风险,英伟达/Apollo/贝莱德/黑石/Brookfield/高盛/KKR/AI基础设施,AI基础设施融资/资本合作/循环融资,"文章称英伟达拟与多家金融机构动员超过5000亿美元第三方资本建设AI基础设施，并由CFO回应市场对循环融资的担忧","最终协议；出资主体；股权或债务结构；担保和回报安排；项目融资；客户购买力；AI收入与现金流","英伟达和合作机构公告；融资及担保文件；项目SPV资料；债券募集说明书；云厂CapEx和自由现金流；信用评级和利差数据","5000亿美元为文章转述的动员规模，不能直接计入英伟达订单或收入；需判断资本是新增需求还是存量项目再融资",条件式退出或利润保护,"协议未落地；融资成本上升；客户违约；项目回报率下降；循环融资被证实；监管审查；AI资本开支下修；高估值波动",条件式退出或利润保护,2026-09-30,"承接8月19日AI信用债与8月26日美债风暴复盘；新增英伟达资本合作和循环融资辨析"
2026-08-27,超节点整柜交付商与国产算力基础设施,服务器厂商/超节点/连接器/液冷/光通信/国产算力链,AI基础设施交付/整柜系统/超节点,"文章认为服务器厂商需从组装商转型为覆盖高速互联、液冷、供电、软件适配、测试调试和运维的AI基础设施交付商","超节点整柜订单；计算与通信设计；液冷和供电方案；软件适配；系统测试；客户验收；上架利用率；复购；收入和毛利率","服务器与超节点产品资料；客户招标和合同；供应商认证；交付验收；机房上架；软件适配测试；公司公告、定期报告和收入分项","产业趋势合理但价值量提升需由订单、能力和复制验证；不以单一模型发布或芯片采购外推上游个股利润",低位多看逻辑,"整柜方案未形成标准化；客户认证或交付延迟；液冷和供电良率不足；软件适配失败；项目集中度高；订单未转收入；估值提前反映",低位关注产业逻辑和基本面,2026-09-30,"承接既有超节点网络、连接器、液冷和算力租赁台账；新增服务器向AI基础设施交付商转型框架"
2026-08-13,光模块测试仪器量价齐升与国产替代,联讯仪器/华兴源创/华盛昌/普源精电/鼎阳科技/优利德,光通信测试仪器/采样示波器/误码仪/时钟恢复,"研报称800G、1.6T、3.2T迭代推动测试设备同步升级，测试环节价值量约占产线30%，海外品牌份额高，国产替代空间较大","1.6T/3.2T产品发布；65GHz及更高带宽；客户认证；批量采购；测试时长；设备单价；海外交期与价格","公司公告；产品规格和测试报告；客户认证；订单、出货和收入分项；毛利率；海外可比公司财报、价格和交期","承接既有光测试仪器台账；测试设备的持续替换逻辑较强，但市场规模、份额和单机价格口径待验证",提示机会；观察催化,"性能和协议兼容不足；认证周期长；样机未转量产；速率迭代放缓；市场空间测算偏大；高位估值和趋势破位",提示机会，观察事件催化,2026-09-15,"新增8月13日测试设备专题；优先区分高速采样示波器、误码仪、时钟恢复和配套仪器"
2026-08-13,光模块耦合贴片键合设备与CPO升级,科瑞技术/罗博特科/博众精工/光模块设备链,光耦合/固晶共晶/引线键合/AOI/CPO自动化,"研报称耦合、贴片和键合受1.6T精度与CPO/NPO一体化驱动，科瑞技术具备多类设备和客户卡位，罗博特科、博众精工通过外延并购补齐能力","亚微米级重复定位；动态视觉；固晶/共晶良率；UPH；CPO/NPO设备；头部客户订单；并购整合","公司公告；产品手册；客户认证；订单和设备交付；产能利用率；收入分项；毛利率；并购交割和整合资料","承接科瑞技术、罗博特科和光模块设备既有记录；能力覆盖不等于固定产线订单和收入贡献",高位多看图；趋势保持留,"客户导入慢；良率和UPH不达标；CPO量产延后；并购整合失败；订单未落地；估值提前反映",趋势未破时跟踪量价,2026-09-15,"新增8月13日耦合、贴片、键合与自动化拆解；不重复记录泛光模块设备映射"
